Date,Year,Region,Product_Category,Units_Sold,Unit_Price,Total_Sales
20-01-2023,2023,Central,DC Breakers,57,1416.48,80739.36
20-01-2023,2023,Central,Hybrid Inverters,215,322.04,69238.6
21-01-2023,2023,West,DC Breakers,62,893.59,55402.58
21-01-2023,2023,North,Energy Storage Units,265,378.34,100260.1
21-01-2023,2023,East,PV Modules,426,600.54,255830.04
21-01-2023,2023,West,Mounting Structures,107,988.05,105721.35
22-01-2023,2023,South,Energy Storage Units,59,749.04,44193.36
22-01-2023,2023,East,Solar Lights,69,881.9,60851.1
22-01-2023,2023,North,PV Modules,132,1367.49,180508.68
23-01-2023,2023,West,Inverters,109,632.2,68909.8
23-01-2023,2023,South,Solar Water Pumps,328,437.98,143657.44
23-01-2023,2023,Central,Energy Storage Units,86,480.57,41329.02
23-01-2023,2023,Central,Smart Meters,208,1485.89,309065.12
23-01-2023,2023,South,Batteries,485,762.89,370001.65
24-01-2023,2023,Central,Monitoring Systems,411,80.31,33007.41
24-01-2023,2023,Central,Solar Water Pumps,445,1141.86,508127.7
24-01-2023,2023,Central,Microinverters,437,402.19,175757.03
24-01-2023,2023,East,Solar Cables,281,334.46,93983.26
24-01-2023,2023,North,Microinverters,369,621.8,229444.2
25-01-2023,2023,West,Solar Water Pumps,354,719.66,254759.64
25-01-2023,2023,Central,Microinverters,126,821.24,103476.24
25-01-2023,2023,Central,Hybrid Inverters,227,362.07,82189.89
26-01-2023,2023,North,Solar Cables,155,1473.44,228383.2
26-01-2023,2023,Central,Hybrid Inverters,98,1499.47,146948.06
26-01-2023,2023,South,Energy Storage Units,133,968.29,128782.57
27-01-2023,2023,Central,Solar Water Pumps,398,1141.09,454153.82
27-01-2023,2023,North,Solar Water Pumps,410,445.23,182544.3
27-01-2023,2023,South,Batteries,71,94.38,6700.98
27-01-2023,2023,South,Solar Panels,467,869.26,405944.42
28-01-2023,2023,South,Mounting Structures,17,1320.64,22450.88
28-01-2023,2023,Central,Smart Meters,318,147.44,46885.92
28-01-2023,2023,East,Microinverters,152,51.98,7900.96
28-01-2023,2023,North,Hybrid Inverters,366,693.33,253758.78
28-01-2023,2023,Central,Hybrid Inverters,104,1488.76,154831.04
28-01-2023,2023,Central,Monitoring Systems,480,99.44,47731.2
29-01-2023,2023,South,Batteries,304,1005.15,305565.6
29-01-2023,2023,Central,DC Breakers,266,1072.88,285386.08
29-01-2023,2023,North,Solar Lights,221,688.01,152050.21
29-01-2023,2023,North,Hybrid Inverters,56,680.88,38129.28
29-01-2023,2023,North,DC Breakers,326,1374.12,447963.12
31-01-2023,2023,South,Energy Storage Units,398,580.37,230987.26
31-01-2023,2023,North,Energy Storage Units,369,285.57,105375.33
31-01-2023,2023,West,Mounting Structures,381,1063.38,405147.78
01-02-2023,2023,East,PV Modules,344,749.63,257872.72
02-02-2023,2023,Central,Monitoring Systems,141,640.63,90328.83
02-02-2023,2023,South,Hybrid Inverters,245,1372.07,336157.15
02-02-2023,2023,East,DC Breakers,410,1288.62,528334.2
02-02-2023,2023,North,DC Breakers,488,850.45,415019.6
02-02-2023,2023,West,Energy Storage Units,121,1480.19,179102.99
02-02-2023,2023,North,Solar Panels,437,1097.26,479502.62
02-02-2023,2023,East,Solar Panels,437,1444.89,631416.93
03-02-2023,2023,West,Charge Controllers,276,359.16,99128.16
03-02-2023,2023,East,Solar Water Pumps,330,716.78,236537.4
03-02-2023,2023,North,Solar Panels,268,594.6,159352.8
03-02-2023,2023,Central,Inverters,499,1439.28,718200.72
03-02-2023,2023,North,Solar Lights,251,801.9,201276.9
03-02-2023,2023,South,Inverters,459,1148.34,527088.06
03-02-2023,2023,East,Solar Panels,360,486,174960
03-02-2023,2023,West,Monitoring Systems,465,1425.96,663071.4
03-02-2023,2023,South,Solar Panels,341,72.72,24797.52
04-02-2023,2023,Central,Energy Storage Units,320,545.48,174553.6
04-02-2023,2023,South,Solar Water Pumps,27,1019.13,27516.51
04-02-2023,2023,Central,Solar Cables,18,407.93,7342.74
04-02-2023,2023,East,Hybrid Inverters,456,1264.13,576443.28
05-02-2023,2023,East,Energy Storage Units,227,1039.84,236043.68
05-02-2023,2023,Central,Microinverters,249,205.66,51209.34
05-02-2023,2023,East,Solar Cables,493,1141.55,562784.15
05-02-2023,2023,South,Solar Water Pumps,451,837.66,377784.66
06-02-2023,2023,North,Energy Storage Units,353,354.25,125050.25
06-02-2023,2023,South,Solar Water Pumps,178,197.74,35197.72
07-02-2023,2023,East,Energy Storage Units,353,479.94,169418.82
07-02-2023,2023,East,Charge Controllers,234,1091.61,255436.74
07-02-2023,2023,North,Solar Panels,180,427.57,76962.6
07-02-2023,2023,South,Solar Panels,107,243.36,26039.52
08-02-2023,2023,East,Smart Meters,425,201.49,85633.25
08-02-2023,2023,North,Solar Lights,163,599.73,97755.99
08-02-2023,2023,South,Solar Water Pumps,273,820.16,223903.68
08-02-2023,2023,West,Solar Cables,175,358.87,62802.25
08-02-2023,2023,East,Smart Meters,475,606.97,288310.75
09-02-2023,2023,South,Hybrid Inverters,285,1068.33,304474.05
09-02-2023,2023,South,Solar Panels,256,985.3,252236.8
09-02-2023,2023,South,Microinverters,420,194.51,81694.2
09-02-2023,2023,North,Energy Storage Units,374,1149.69,429984.06
10-02-2023,2023,North,DC Breakers,273,1235.8,337373.4
10-02-2023,2023,East,Solar Panels,422,72.63,30649.86
10-02-2023,2023,East,Hybrid Inverters,451,1127.35,508434.85
10-02-2023,2023,South,Solar Cables,65,334.83,21763.95
10-02-2023,2023,West,Hybrid Inverters,251,1163.71,292091.21
11-02-2023,2023,South,Hybrid Inverters,347,448.24,155539.28
11-02-2023,2023,Central,DC Breakers,316,540.31,170737.96
11-02-2023,2023,North,Inverters,152,536.76,81587.52
11-02-2023,2023,East,Solar Panels,103,950.94,97946.82
12-02-2023,2023,West,Batteries,438,806.64,353308.32
12-02-2023,2023,West,Solar Panels,442,892.87,394648.54
12-02-2023,2023,South,DC Breakers,248,1281.64,317846.72
12-02-2023,2023,North,Inverters,388,471.32,182872.16
12-02-2023,2023,Central,Energy Storage Units,253,977.9,247408.7
13-02-2023,2023,South,Inverters,256,1082.33,277076.48
13-02-2023,2023,Central,Charge Controllers,300,211.81,63543
13-02-2023,2023,Central,Solar Cables,158,766.7,121138.6
13-02-2023,2023,Central,Solar Cables,379,166.49,63099.71
13-02-2023,2023,East,Hybrid Inverters,310,553.96,171727.6
13-02-2023,2023,Central,Hybrid Inverters,41,678.64,27824.24
14-02-2023,2023,South,Solar Cables,76,1048.51,79686.76
14-02-2023,2023,East,Solar Lights,497,54.3,26987.1
14-02-2023,2023,Central,Charge Controllers,487,611.87,297980.69
14-02-2023,2023,East,Solar Panels,371,554.62,205764.02
14-02-2023,2023,West,Solar Panels,175,1357.13,237497.75
14-02-2023,2023,South,Charge Controllers,447,392.89,175621.83
14-02-2023,2023,South,PV Modules,418,1151.72,481418.96
14-02-2023,2023,West,Solar Panels,126,1495.95,188489.7
14-02-2023,2023,Central,DC Breakers,165,219.81,36268.65
14-02-2023,2023,South,Solar Lights,4,676.55,2706.2
14-02-2023,2023,West,Batteries,260,323.57,84128.2
15-02-2023,2023,South,Batteries,140,1020.53,142874.2
16-02-2023,2023,West,Mounting Structures,241,1376.39,331709.99
16-02-2023,2023,South,DC Breakers,27,1095.48,29577.96
16-02-2023,2023,South,Microinverters,130,1482.59,192736.7
16-02-2023,2023,South,PV Modules,159,1125.23,178911.57
16-02-2023,2023,Central,Microinverters,448,957.81,429098.88
16-02-2023,2023,East,Energy Storage Units,397,147.25,58458.25
16-02-2023,2023,West,DC Breakers,83,1379.9,114531.7
16-02-2023,2023,North,Inverters,302,412.04,124436.08
17-02-2023,2023,Central,Solar Cables,430,1189.7,511571
17-02-2023,2023,South,Solar Panels,181,795.36,143960.16
17-02-2023,2023,East,Batteries,431,186.25,80273.75
17-02-2023,2023,Central,Energy Storage Units,318,78.47,24953.46
17-02-2023,2023,Central,DC Breakers,253,663.82,167946.46
17-02-2023,2023,East,Microinverters,254,71.56,18176.24
17-02-2023,2023,East,PV Modules,3,1248.09,3744.27
17-02-2023,2023,West,Smart Meters,330,1379.76,455320.8
17-02-2023,2023,North,Energy Storage Units,424,627.32,265983.68
17-02-2023,2023,East,Solar Water Pumps,475,1042.36,495121
18-02-2023,2023,South,Energy Storage Units,304,965.37,293472.48
18-02-2023,2023,South,Charge Controllers,467,613.71,286602.57
18-02-2023,2023,Central,Energy Storage Units,45,641.59,28871.55
19-02-2023,2023,North,Solar Water Pumps,95,1297.95,123305.25
19-02-2023,2023,North,Batteries,37,85.05,3146.85
19-02-2023,2023,South,DC Breakers,438,1406.75,616156.5
19-02-2023,2023,East,Charge Controllers,240,726.88,174451.2
20-02-2023,2023,East,Solar Panels,85,864.68,73497.8
20-02-2023,2023,Central,Solar Water Pumps,207,1173.1,242831.7
20-02-2023,2023,Central,Hybrid Inverters,149,154.24,22981.76
20-02-2023,2023,South,Energy Storage Units,292,154.32,45061.44
20-02-2023,2023,North,Monitoring Systems,351,1244.78,436917.78
20-02-2023,2023,Central,Inverters,477,1156.44,551621.88
20-02-2023,2023,West,Energy Storage Units,271,599.98,162594.58
21-02-2023,2023,Central,Microinverters,217,1230.38,266992.46
21-02-2023,2023,Central,Solar Water Pumps,197,1330.52,262112.44
21-02-2023,2023,Central,Hybrid Inverters,282,617.44,174118.08
21-02-2023,2023,East,Microinverters,372,1037.35,385894.2
22-02-2023,2023,South,Hybrid Inverters,141,1026.08,144677.28
22-02-2023,2023,South,Smart Meters,103,787.82,81145.46
22-02-2023,2023,South,Inverters,117,1401.84,164015.28
22-02-2023,2023,North,Microinverters,84,758.11,63681.24
22-02-2023,2023,Central,Mounting Structures,116,117.42,13620.72
23-02-2023,2023,Central,Solar Water Pumps,133,1175.23,156305.59
23-02-2023,2023,North,Smart Meters,419,967.37,405328.03
23-02-2023,2023,North,Microinverters,343,573.08,196566.44
23-02-2023,2023,Central,Solar Water Pumps,373,128.3,47855.9
24-02-2023,2023,West,Microinverters,410,1270.33,520835.3
24-02-2023,2023,Central,Microinverters,15,1417.69,21265.35
26-02-2023,2023,Central,Charge Controllers,8,660.22,5281.76
26-02-2023,2023,North,Smart Meters,392,676.95,265364.4
26-02-2023,2023,West,DC Breakers,349,1431.96,499754.04
26-02-2023,2023,Central,Energy Storage Units,495,1367.92,677120.4
27-02-2023,2023,North,Mounting Structures,52,53.78,2796.56
27-02-2023,2023,South,Mounting Structures,289,593.74,171590.86
27-02-2023,2023,West,Solar Cables,207,846.58,175242.06
27-02-2023,2023,East,Energy Storage Units,304,986.13,299783.52
27-02-2023,2023,South,Energy Storage Units,52,580.69,30195.88
27-02-2023,2023,East,Hybrid Inverters,347,173.62,60246.14
27-02-2023,2023,South,DC Breakers,251,1115.33,279947.83
28-02-2023,2023,North,Solar Cables,182,337.26,61381.32
28-02-2023,2023,North,Monitoring Systems,171,924.27,158050.17
28-02-2023,2023,West,Energy Storage Units,222,233.52,51841.44
01-03-2023,2023,Central,Inverters,81,290.03,23492.43
01-03-2023,2023,Central,Batteries,54,1300.34,70218.36
02-03-2023,2023,South,DC Breakers,189,995.2,188092.8
02-03-2023,2023,North,Monitoring Systems,456,321.21,146471.76
02-03-2023,2023,South,Batteries,423,1018.51,430829.73
02-03-2023,2023,East,Smart Meters,376,355.37,133619.12
02-03-2023,2023,South,Batteries,435,1199.95,521978.25
03-03-2023,2023,North,Solar Lights,85,596.13,50671.05
03-03-2023,2023,Central,Monitoring Systems,105,662.38,69549.9
03-03-2023,2023,East,Solar Lights,287,1384.8,397437.6
04-03-2023,2023,East,DC Breakers,312,323.7,100994.4
04-03-2023,2023,North,Charge Controllers,182,402.06,73174.92
04-03-2023,2023,West,Hybrid Inverters,77,766.06,58986.62
05-03-2023,2023,North,DC Breakers,29,425.9,12351.1
05-03-2023,2023,South,PV Modules,79,311.36,24597.44
05-03-2023,2023,Central,Solar Panels,465,1006.95,468231.75
06-03-2023,2023,West,Mounting Structures,236,932.38,220041.68
06-03-2023,2023,South,Solar Cables,80,151.55,12124
07-03-2023,2023,Central,Monitoring Systems,250,105.55,26387.5
07-03-2023,2023,East,Solar Cables,252,1028.82,259262.64
07-03-2023,2023,South,PV Modules,438,326.59,143046.42
07-03-2023,2023,West,Inverters,353,1096.45,387046.85
08-03-2023,2023,Central,Microinverters,478,382.9,183026.2
09-03-2023,2023,East,Solar Cables,359,1367.32,490867.88
09-03-2023,2023,South,Mounting Structures,31,186.17,5771.27
09-03-2023,2023,North,PV Modules,337,272,91664
09-03-2023,2023,West,PV Modules,21,929.95,19528.95
09-03-2023,2023,South,Mounting Structures,25,1200.1,30002.5
10-03-2023,2023,East,PV Modules,242,154.22,37321.24
10-03-2023,2023,North,Solar Lights,218,866.2,188831.6
10-03-2023,2023,East,Energy Storage Units,119,1149.06,136738.14
10-03-2023,2023,South,Smart Meters,399,1448.54,577967.46
10-03-2023,2023,West,Smart Meters,443,195.42,86571.06
11-03-2023,2023,South,Solar Panels,294,1198.35,352314.9
11-03-2023,2023,West,Batteries,115,882.63,101502.45
11-03-2023,2023,North,DC Breakers,152,1389.92,211267.84
11-03-2023,2023,Central,Smart Meters,454,561.67,254998.18
11-03-2023,2023,Central,Smart Meters,265,64.3,17039.5
12-03-2023,2023,East,Charge Controllers,309,1247.35,385431.15
12-03-2023,2023,East,Solar Cables,423,790.47,334368.81
12-03-2023,2023,North,Solar Water Pumps,205,812.38,166537.9
13-03-2023,2023,West,Energy Storage Units,44,484.96,21338.24
13-03-2023,2023,South,Inverters,47,1329.79,62500.13
13-03-2023,2023,Central,Microinverters,425,515.96,219283
13-03-2023,2023,West,DC Breakers,415,448.83,186264.45
13-03-2023,2023,South,Smart Meters,429,829.53,355868.37
13-03-2023,2023,East,Smart Meters,342,842.77,288227.34
13-03-2023,2023,Central,Inverters,464,1479.42,686450.88
14-03-2023,2023,West,Solar Cables,83,538.43,44689.69
14-03-2023,2023,Central,Smart Meters,63,1250.5,78781.5
14-03-2023,2023,North,Batteries,15,100.39,1505.85
14-03-2023,2023,East,Solar Lights,171,1405.62,240361.02
14-03-2023,2023,North,Solar Cables,189,1067.16,201693.24
14-03-2023,2023,West,Inverters,304,1188.04,361164.16
14-03-2023,2023,Central,Smart Meters,329,1243.03,408956.87
15-03-2023,2023,Central,Solar Panels,11,744.95,8194.45
15-03-2023,2023,Central,Mounting Structures,455,588.23,267644.65
15-03-2023,2023,Central,Inverters,259,51.58,13359.22
15-03-2023,2023,West,Mounting Structures,438,1400.56,613445.28
16-03-2023,2023,Central,Inverters,128,1172.19,150040.32
16-03-2023,2023,Central,Monitoring Systems,187,1029.83,192578.21
16-03-2023,2023,West,Mounting Structures,351,323.94,113702.94
17-03-2023,2023,East,Smart Meters,369,541.53,199824.57
17-03-2023,2023,Central,Solar Lights,209,106.73,22306.57
17-03-2023,2023,East,Solar Water Pumps,7,210.52,1473.64
18-03-2023,2023,West,Batteries,234,302.95,70890.3
18-03-2023,2023,West,Energy Storage Units,247,584.87,144462.89
18-03-2023,2023,West,Charge Controllers,370,1323.85,489824.5
18-03-2023,2023,South,DC Breakers,298,1177.13,350784.74
18-03-2023,2023,South,Monitoring Systems,37,662.32,24505.84
19-03-2023,2023,South,Charge Controllers,51,656.1,33461.1
19-03-2023,2023,West,Charge Controllers,362,1053.89,381508.18
20-03-2023,2023,South,DC Breakers,94,785.5,73837
20-03-2023,2023,Central,Solar Lights,26,1068.21,27773.46
20-03-2023,2023,West,PV Modules,425,365.32,155261
21-03-2023,2023,South,Microinverters,46,217.37,9999.02
21-03-2023,2023,West,Monitoring Systems,68,605.47,41171.96
22-03-2023,2023,West,Charge Controllers,420,487.87,204905.4
22-03-2023,2023,East,Batteries,16,391.84,6269.44
22-03-2023,2023,Central,PV Modules,95,987.32,93795.4
22-03-2023,2023,South,Solar Panels,207,137.32,28425.24
22-03-2023,2023,Central,Energy Storage Units,87,1370.18,119205.66
23-03-2023,2023,North,Solar Water Pumps,39,936.79,36534.81
23-03-2023,2023,East,Charge Controllers,417,1426.02,594650.34
24-03-2023,2023,South,Mounting Structures,389,1443.6,561560.4
24-03-2023,2023,South,Smart Meters,200,1050.34,210068
24-03-2023,2023,East,Solar Water Pumps,290,889.11,257841.9
24-03-2023,2023,North,Batteries,458,444.3,203489.4
24-03-2023,2023,North,DC Breakers,43,162.4,6983.2
25-03-2023,2023,North,Mounting Structures,365,199.73,72901.45
25-03-2023,2023,East,Solar Lights,26,808.62,21024.12
25-03-2023,2023,West,Hybrid Inverters,90,1241.31,111717.9
26-03-2023,2023,East,PV Modules,435,441.64,192113.4
26-03-2023,2023,South,Energy Storage Units,36,1298,46728
26-03-2023,2023,West,Charge Controllers,397,580.68,230529.96
26-03-2023,2023,North,PV Modules,434,1017.47,441581.98
27-03-2023,2023,South,Solar Cables,309,1424.51,440173.59
27-03-2023,2023,South,Hybrid Inverters,401,461.89,185217.89
27-03-2023,2023,Central,Solar Lights,84,452.84,38038.56
27-03-2023,2023,North,Microinverters,196,627.4,122970.4
27-03-2023,2023,South,Smart Meters,145,857.59,124350.55
27-03-2023,2023,North,Charge Controllers,266,634.68,168824.88
27-03-2023,2023,East,Solar Panels,474,1161.02,550323.48
28-03-2023,2023,North,Hybrid Inverters,313,1016.91,318292.83
29-03-2023,2023,North,Hybrid Inverters,120,554.12,66494.4
29-03-2023,2023,North,Microinverters,441,674.52,297463.32
29-03-2023,2023,Central,Solar Cables,106,103.33,10952.98
29-03-2023,2023,North,Charge Controllers,311,970.13,301710.43
29-03-2023,2023,West,Monitoring Systems,383,520.17,199225.11
29-03-2023,2023,Central,Solar Panels,319,433.48,138280.12
30-03-2023,2023,South,Mounting Structures,355,1125.2,399446
30-03-2023,2023,Central,Batteries,61,95.15,5804.15
30-03-2023,2023,North,Solar Lights,187,1058.68,197973.16
30-03-2023,2023,West,Hybrid Inverters,219,756.17,165601.23
30-03-2023,2023,North,Batteries,251,423.6,106323.6
30-03-2023,2023,West,Solar Lights,103,1199.72,123571.16
30-03-2023,2023,East,Smart Meters,61,768.56,46882.16
31-03-2023,2023,East,Batteries,259,960.31,248720.29
31-03-2023,2023,West,Charge Controllers,271,116.09,31460.39
01-04-2023,2023,North,Solar Water Pumps,308,1405.08,432764.64
01-04-2023,2023,North,Smart Meters,120,1240.13,148815.6
01-04-2023,2023,South,Solar Panels,256,254.69,65200.64
01-04-2023,2023,Central,Solar Cables,63,654.17,41212.71
02-04-2023,2023,West,DC Breakers,315,428.63,135018.45
02-04-2023,2023,West,Solar Lights,442,846.81,374290.02
02-04-2023,2023,South,Charge Controllers,367,883.84,324369.28
02-04-2023,2023,East,Solar Lights,106,371.78,39408.68
02-04-2023,2023,West,Solar Water Pumps,288,1303.97,375543.36
02-04-2023,2023,South,Energy Storage Units,193,1423,274639
03-04-2023,2023,Central,DC Breakers,337,573.41,193239.17
03-04-2023,2023,West,Hybrid Inverters,274,1433.84,392872.16
03-04-2023,2023,North,Charge Controllers,80,939.62,75169.6
05-04-2023,2023,East,Solar Water Pumps,455,801.99,364905.45
06-04-2023,2023,East,Energy Storage Units,318,277.23,88159.14
06-04-2023,2023,Central,Charge Controllers,418,166.46,69580.28
06-04-2023,2023,South,Solar Cables,41,399.5,16379.5
06-04-2023,2023,East,Mounting Structures,61,818.34,49918.74
06-04-2023,2023,South,Solar Panels,240,126.07,30256.8
07-04-2023,2023,Central,Inverters,369,763.52,281738.88
07-04-2023,2023,Central,Smart Meters,179,533.74,95539.46
07-04-2023,2023,South,Hybrid Inverters,280,812.24,227427.2
07-04-2023,2023,East,Solar Lights,268,732.28,196251.04
07-04-2023,2023,South,Solar Lights,458,611.15,279906.7
07-04-2023,2023,Central,Solar Panels,99,1453.93,143939.07
08-04-2023,2023,North,Monitoring Systems,181,1252.81,226758.61
08-04-2023,2023,North,DC Breakers,401,1455.74,583751.74
08-04-2023,2023,South,Charge Controllers,209,350.01,73152.09
08-04-2023,2023,West,PV Modules,183,967.46,177045.18
09-04-2023,2023,North,DC Breakers,67,1367.89,91648.63
09-04-2023,2023,South,Solar Panels,46,387.32,17816.72
10-04-2023,2023,Central,Inverters,496,519.12,257483.52
10-04-2023,2023,North,Monitoring Systems,168,911.48,153128.64
10-04-2023,2023,East,Monitoring Systems,32,81.83,2618.56
10-04-2023,2023,West,DC Breakers,363,1189.85,431915.55
10-04-2023,2023,South,Solar Lights,410,1353.76,555041.6
11-04-2023,2023,South,Hybrid Inverters,372,594.8,221265.6
11-04-2023,2023,South,Mounting Structures,480,99.04,47539.2
11-04-2023,2023,South,Inverters,216,975.32,210669.12
12-04-2023,2023,East,Batteries,296,284.33,84161.68
12-04-2023,2023,East,Mounting Structures,492,1401.15,689365.8
12-04-2023,2023,South,Inverters,350,125.53,43935.5
12-04-2023,2023,South,Mounting Structures,315,137.82,43413.3
13-04-2023,2023,East,Solar Cables,12,278.85,3346.2
13-04-2023,2023,South,Energy Storage Units,435,467.57,203392.95
13-04-2023,2023,West,Charge Controllers,31,514.08,15936.48
14-04-2023,2023,East,Inverters,365,612.17,223442.05
14-04-2023,2023,South,Batteries,48,828.77,39780.96
14-04-2023,2023,Central,Solar Water Pumps,176,678.73,119456.48
15-04-2023,2023,East,Energy Storage Units,58,515.01,29870.58
15-04-2023,2023,Central,Microinverters,68,1060.19,72092.92
15-04-2023,2023,North,Hybrid Inverters,241,157.87,38046.67
15-04-2023,2023,North,DC Breakers,360,540.51,194583.6
15-04-2023,2023,South,Batteries,444,674.69,299562.36
15-04-2023,2023,Central,PV Modules,21,163.15,3426.15
15-04-2023,2023,West,Solar Cables,492,428.87,211004.04
16-04-2023,2023,North,Solar Lights,308,554.07,170653.56
16-04-2023,2023,South,Solar Cables,416,338.69,140895.04
16-04-2023,2023,South,Solar Cables,383,472.59,181001.97
16-04-2023,2023,North,Hybrid Inverters,470,1052.06,494468.2
16-04-2023,2023,North,Microinverters,429,925.4,396996.6
16-04-2023,2023,East,Solar Lights,141,1438.41,202815.81
17-04-2023,2023,South,Batteries,362,293.05,106084.1
17-04-2023,2023,South,Microinverters,491,72.64,35666.24
17-04-2023,2023,North,Smart Meters,263,856.28,225201.64
17-04-2023,2023,Central,Solar Lights,280,225.64,63179.2
17-04-2023,2023,North,DC Breakers,492,1236.68,608446.56
18-04-2023,2023,North,Solar Lights,166,84.99,14108.34
18-04-2023,2023,Central,Solar Water Pumps,240,1291.84,310041.6
19-04-2023,2023,East,Energy Storage Units,150,945.07,141760.5
19-04-2023,2023,Central,Monitoring Systems,269,1026.93,276244.17
20-04-2023,2023,West,Microinverters,253,554.7,140339.1
20-04-2023,2023,South,Hybrid Inverters,412,50.17,20670.04
